,category,lat,lng,name,rating,reviews,yelpid
8,chinese,43.6537009888,-79.3948583677,Anne's Magic Kitchen,3.5,36,annes-magic-kitchen-toronto
9,chinese,43.65202,-79.40816,Patois Toronto,3.5,170,patois-toronto-toronto
10,chinese,43.726343335,-79.3424751046,Asian Legend,3.0,48,asian-legend-toronto-3
11,chinese,43.70435,-79.34978,Hakka Garden Chinese Restaurant,3.5,40,hakka-garden-chinese-restaurant-toronto
12,chinese,43.66749,-79.43202,South Pacific,2.5,4,south-pacific-toronto
13,chinese,43.6616589,-79.3670756,Pho U,3.5,30,pho-u-toronto
14,chinese,43.6403899,-79.43836,Rice & Noodle,3.0,8,rice-and-noodle-toronto
15,chinese,43.6932721,-79.3426763,Guest House Chinese,4.0,2,guest-house-chinese-toronto
16,chinese,43.6855392,-79.312233,Sandy's Restaurant,3.5,14,sandys-restaurant-toronto-2
17,chinese,43.6536,-79.39869,Jackpot Chicken Rice,3.0,101,jackpot-chicken-rice-toronto-2
18,chinese,43.65375,-79.39568,Morals Village,3.5,58,morals-village-toronto-2
19,chinese,43.70254,-79.47716,Chopstixpress,4.0,5,chopstixpress-toronto
20,chinese,43.66773,-79.36966,Tender Trap Restaurant,3.0,11,tender-trap-restaurant-toronto
21,chinese,43.7125483505,-79.3645555214,TAO Northern Chinese Cuisine,3.5,4,tao-northern-chinese-cuisine-toronto-2
22,chinese,43.6521515722,-79.3979640307,Goldstone Noodle Restaurant,3.0,96,goldstone-noodle-restaurant-toronto-4
23,chinese,43.6532,-79.39585,Hong Fatt B-B-Q,3.5,22,hong-fatt-b-b-q-toronto
24,chinese,43.6533253829,-79.3953588346,Origination,3.0,33,origination-toronto
25,chinese,43.7186028526,-79.4553992137,Lucky Dragon,4.0,1,lucky-dragon-toronto-3
26,chinese,43.6789398,-79.4730072,Lucky Dragon,4.0,6,lucky-dragon-toronto-2
27,chinese,43.6412698662,-79.3774427846,Shanghai 360,3.0,3,shanghai-360-toronto-2
28,chinese,43.74251,-79.3051799,Super Hakka Restaurant,3.5,66,super-hakka-restaurant-toronto
29,chinese,43.65443,-79.39836,Ding Dong Pastries,4.0,61,ding-dong-pastries-toronto
30,chinese,43.64125,-79.4345,Good Life House Restaurant,3.0,1,good-life-house-restaurant-toronto
31,chinese,43.66672,-79.40455,Noodle Bowl,2.0,56,noodle-bowl-toronto
32,chinese,43.7045112,-79.4921188,Dynasty House Seafood Restaurant,3.0,17,dynasty-house-seafood-restaurant-toronto
33,chinese,43.64757,-79.38684,Chic Chinoise Restaurant & Lounge,4.0,1,chic-chinoise-restaurant-and-lounge-toronto
34,chinese,43.68878,-79.3002999,Su-Good,4.0,5,su-good-toronto
35,chinese,43.7019,-79.38727,South China,2.0,11,south-china-toronto
36,chinese,43.6532650596,-79.3953229055,Little Sheep Mongolian Hot Pot,3.5,60,little-sheep-mongolian-hot-pot-toronto
37,chinese,43.66503,-79.45945,Westown Chinese Food,2.0,19,westown-chinese-food-toronto
38,chinese,43.7000313,-79.4290771,Spring China House,2.0,17,spring-china-house-toronto
39,chinese,43.6533136232,-79.3969548981,Hei Xiao Mian,3.5,3,hei-xiao-mian-toronto
40,chinese,43.6525192,-79.3985367,YooJ Express Restaurant,3.0,16,yooj-express-restaurant-toronto
41,chinese,43.65881,-79.39419,Spicy Mafia,4.0,1,spicy-mafia-toronto
42,chinese,43.65421,-79.4021099,King's Café,3.5,112,kings-café-toronto-2
43,chinese,43.66574,-79.3505799,Top Bakery House,4.0,1,top-bakery-house-toronto
44,chinese,43.6569901,-79.4000092,Huibin,3.0,7,huibin-toronto
45,chinese,43.675415,-79.4716644,Panda Express,3.0,11,panda-express-toronto
46,chinese,43.66574,-79.3505799,Panda Chef,2.0,5,panda-chef-toronto-2
47,chinese,43.66555,-79.35114,River Seafood House,3.5,2,river-seafood-house-toronto-2
48,chinese,43.73354,-79.41916,Sakura Garden,3.5,33,sakura-garden-toronto
49,chinese,43.6860950168,-79.4873804709,Hua Tai Restaurant,5.0,1,hua-tai-restaurant-toronto
0,chinese,43.64917,-79.42151,Quality Inn Chinese Restaurant,3.0,1,quality-inn-chinese-restaurant-toronto
1,chinese,43.6562119,-79.3997726,Sichuan Landscape Chinese Restaurant,2.0,24,sichuan-landscape-chinese-restaurant-toronto
2,chinese,43.67075,-79.3854,Manchu Wok,3.0,2,manchu-wok-toronto-5
3,chinese,43.7360359969,-79.347120422,Congee Queen,4.0,172,congee-queen-north-york
4,chinese,43.6276398,-79.4977112,Ruyi Garden Chinese Restaurant,2.5,12,ruyi-garden-chinese-restaurant-toronto
5,chinese,43.65158,-79.3978,Furama Cake and Desserts Garden,3.5,33,furama-cake-and-desserts-garden-toronto
6,chinese,43.74355,-79.30197,Spring China House,3.5,5,spring-china-house-toronto-3
